"","company","recruit","period","link_head","link_body","link_head2","link_body2","type"
"1","(주)한국파마","안전관리 약사 모집","~11-06","경력","경력   5년 이상","모집부분","제약유통 > 기타","TOP"
"2","(주)한국파마","안전관리 약사 모집","~11-06","학력","대졸(4년제)","담당업무","Drug Safety Specialist/ Sr. Specialist","TOP"
"3","(주)한국파마","안전관리 약사 모집","~11-06","급여조건","당사규정에 따름","학력","대졸(4년제)","TOP"
"4","(주)한국파마","안전관리 약사 모집","~11-06","근무지역","서울 서초구 서초동","성별","무관","TOP"
"5","(주)한국파마","안전관리 약사 모집","~11-06","업종","제약유통","나이","무관","TOP"
"6","(주)한국파마","안전관리 약사 모집","~11-06","위치","서울 서초구 서초동","경력","경력   5년 이상","TOP"
"7","(주)한국파마","안전관리 약사 모집","~11-06","홈페이지","홈페이지바로가기","인원","0 명","TOP"
"8","(주)한국파마","안전관리 약사 모집","~11-06","우대","-","우대","-","TOP"
"9","(주)한국파마","안전관리 약사 모집","~11-06","고용형태","정규직","-","-","TOP"
"10","(주)한국파마","안전관리 약사 모집","~11-06","경력","경력   1년 이상","모집부분","제약유통 > 영업","TOP"
"11","(주)한국파마","안전관리 약사 모집","~11-06","학력","대졸(4년제)","담당업무","Medical Sales Representative 경력 - 정규직","TOP"
"12","(주)한국파마","안전관리 약사 모집","~11-06","급여조건","당사규정에 따름","학력","대졸(4년제)","TOP"
"13","(주)한국파마","안전관리 약사 모집","~11-06","근무지역","서울 서초구 서초동","성별","무관","TOP"
"14","(주)한국파마","안전관리 약사 모집","~11-06","업종","제약유통","나이","무관","TOP"
"15","(주)한국파마","안전관리 약사 모집","~11-06","위치","서울 서초구 서초동","경력","경력   1년 이상","TOP"
"16","(주)한국파마","안전관리 약사 모집","~11-06","홈페이지","홈페이지바로가기","인원","0 명","TOP"
"17","(주)한국파마","안전관리 약사 모집","~11-06","우대","-","우대","-","TOP"
"18","(주)한국파마","안전관리 약사 모집","~11-06","고용형태","정규직","-","-","TOP"
"19","(주)한국파마","안전관리 약사 모집","~11-06","경력","무관","모집부분","병원 > 병원약사","TOP"
"20","(주)한국파마","안전관리 약사 모집","~11-06","학력","대졸(4년제) , 졸업예정자 , 학력무관","담당업무","약제팀 정규약사","TOP"
"21","(주)한국파마","안전관리 약사 모집","~11-06","급여조건","당사규정에 따름","학력","대졸(4년제) , 졸업예정자 , 학력무관","TOP"
"22","(주)한국파마","안전관리 약사 모집","~11-06","근무지역","인천 부평구 부평동","성별","무관","TOP"
"23","(주)한국파마","안전관리 약사 모집","~11-06","업종","병원","나이","무관","TOP"
"24","(주)한국파마","안전관리 약사 모집","~11-06","위치","인천 부평구 부평동","경력","무관","TOP"
"25","(주)한국파마","안전관리 약사 모집","~11-06","홈페이지","-","인원","0 명","TOP"
"26","(주)한국파마","안전관리 약사 모집","~11-06","우대","-","우대","-","TOP"
"27","(주)한국파마","안전관리 약사 모집","~11-06","고용형태","정규직","-","-","TOP"
"28","(주)한국파마","안전관리 약사 모집","~11-06","경력","경력   1년 이상 , 신입","모집부분","병원 > 병원약사","TOP"
"29","(주)한국파마","안전관리 약사 모집","~11-06","학력","대졸(4년제) , 졸업예정자 , 학력무관","담당업무","약제팀 정규약사","TOP"
"30","(주)한국파마","안전관리 약사 모집","~11-06","급여조건","당사규정에 따름","학력","대졸(4년제) , 졸업예정자 , 학력무관","TOP"
"31","(주)한국파마","안전관리 약사 모집","~11-06","근무지역","인천 부평구 부평동","성별","무관","TOP"
"32","(주)한국파마","안전관리 약사 모집","~11-06","업종","병원","나이","무관","TOP"
"33","(주)한국파마","안전관리 약사 모집","~11-06","위치","인천 부평구 부평동","경력","경력   1년 이상 , 신입","TOP"
"34","(주)한국파마","안전관리 약사 모집","~11-06","홈페이지","-","인원","0 명","TOP"
"35","(주)한국파마","안전관리 약사 모집","~11-06","우대","-","우대","-","TOP"
"36","(주)한국파마","안전관리 약사 모집","~11-06","고용형태","정규직","-","-","TOP"
"37","(주)한국파마","안전관리 약사 모집","~11-06","경력","무관","모집부분","제약유통 > 영업","TOP"
"38","(주)한국파마","안전관리 약사 모집","~11-06","학력","대졸(4년제)","담당업무","Medical Sales Representative 신입/경력 계약직","TOP"
"39","(주)한국파마","안전관리 약사 모집","~11-06","급여조건","당사규정에 따름","학력","대졸(4년제)","TOP"
"40","(주)한국파마","안전관리 약사 모집","~11-06","근무지역","서울 서초구 서초동","성별","무관","TOP"
"41","(주)한국파마","안전관리 약사 모집","~11-06","업종","제약유통","나이","무관","TOP"
"42","(주)한국파마","안전관리 약사 모집","~11-06","위치","서울 서초구 서초동","경력","무관","TOP"
"43","(주)한국파마","안전관리 약사 모집","~11-06","홈페이지","홈페이지바로가기","인원","0 명","TOP"
"44","(주)한국파마","안전관리 약사 모집","~11-06","우대","-","우대","-","TOP"
"45","(주)한국파마","안전관리 약사 모집","~11-06","고용형태","계약직 12 개월","-","-","TOP"
"46","(주)한국파마","안전관리 약사 모집","~11-06","경력","무관","모집부분","제약유통 > 일반관리","TOP"
"47","(주)한국파마","안전관리 약사 모집","~11-06","학력","대졸(4년제)","담당업무","CVT Scientific/Medical Advisor","TOP"
"48","(주)한국파마","안전관리 약사 모집","~11-06","급여조건","당사규정에 따름","학력","대졸(4년제)","TOP"
"49","(주)한국파마","안전관리 약사 모집","~11-06","근무지역","서울 동작구 신대방동","성별","무관","TOP"
"50","(주)한국파마","안전관리 약사 모집","~11-06","업종","제약유통","나이","무관","TOP"
"51","(주)한국파마","안전관리 약사 모집","~11-06","위치","서울 동작구 신대방동","경력","무관","TOP"
"52","(주)한국파마","안전관리 약사 모집","~11-06","홈페이지","홈페이지바로가기","인원","0 명","TOP"
"53","(주)한국파마","안전관리 약사 모집","~11-06","우대","-","우대","-","TOP"
"54","(주)한국파마","안전관리 약사 모집","~11-06","고용형태","계약직 12 개월","-","-","TOP"
"55","(주)한국파마","안전관리 약사 모집","~11-06","경력","무관","모집부분","병원 > 병원약사","TOP"
"56","(주)한국파마","안전관리 약사 모집","~11-06","학력","학력무관","담당업무","인천수요양병원 원내약사님을 모십니다","TOP"
"57","(주)한국파마","안전관리 약사 모집","~11-06","고용형태","정규직","학력","학력무관","TOP"
"58","(주)한국파마","안전관리 약사 모집","~11-06","급여조건","2800만원 ~ 3000만원","성별","무관","TOP"
"59","(주)한국파마","안전관리 약사 모집","~11-06","근무지역","인천 남동구 논현동","나이","무관","TOP"
"60","(주)한국파마","안전관리 약사 모집","~11-06","업종","병원","경력","무관","TOP"
"61","(주)한국파마","안전관리 약사 모집","~11-06","위치","인천 남동구 논현동","인원","우대조건","TOP"
"62","(주)한국파마","안전관리 약사 모집","~11-06","우대","-","우대","-","TOP"
"63","(주)한국파마","안전관리 약사 모집","~11-06","우대","약학","-","-","TOP"
"64","(주)한국파마","안전관리 약사 모집","~11-06","경력","무관","모집부분","약국 > 근무약사","TOP"
"65","(주)한국파마","안전관리 약사 모집","~11-06","학력","학력무관","담당업무","조제 투약 일반약상담","TOP"
"66","(주)한국파마","안전관리 약사 모집","~11-06","급여조건","면접시 협의","학력","학력무관","TOP"
"67","(주)한국파마","안전관리 약사 모집","~11-06","근무지역","경기 파주시 목동동","성별","무관","TOP"
"68","(주)한국파마","안전관리 약사 모집","~11-06","업종","약국","나이","무관","TOP"
"69","(주)한국파마","안전관리 약사 모집","~11-06","위치","경기 파주시 목동동","경력","무관","TOP"
"70","(주)한국파마","안전관리 약사 모집","~11-06","홈페이지","-","인원","0 명","TOP"
"71","(주)한국파마","안전관리 약사 모집","~11-06","우대","-","우대","-","TOP"
"72","(주)한국파마","안전관리 약사 모집","~11-06","고용형태","정규직","-","-","TOP"
"73","(주)한국파마","안전관리 약사 모집","~11-06","경력","무관","모집부분","병원 > 병원약사","TOP"
"74","(주)한국파마","안전관리 약사 모집","~11-06","학력","졸업예정자 , 학력무관","담당업무","병원약사 업무","TOP"
"75","(주)한국파마","안전관리 약사 모집","~11-06","급여조건","5000만원 ~ 5500만원","학력","졸업예정자 , 학력무관","TOP"
"76","(주)한국파마","안전관리 약사 모집","~11-06","근무지역","경기 의정부시 금오동","성별","무관","TOP"
"77","(주)한국파마","안전관리 약사 모집","~11-06","업종","병원","나이","무관","TOP"
"78","(주)한국파마","안전관리 약사 모집","~11-06","위치","경기 의정부시 금오동","경력","무관","TOP"
"79","(주)한국파마","안전관리 약사 모집","~11-06","홈페이지","홈페이지바로가기","인원","0 명","TOP"
"80","(주)한국파마","안전관리 약사 모집","~11-06","우대","-","우대","-","TOP"
"81","(주)한국파마","안전관리 약사 모집","~11-06","고용형태","정규직","-","-","TOP"
"82","(주)한국파마","안전관리 약사 모집","~11-06","경력","경력","모집부분","병원 > 병원약사","TOP"
"83","(주)한국파마","안전관리 약사 모집","~11-06","학력","대졸(4년제)","담당업무","약제과 약사 업무","TOP"
"84","(주)한국파마","안전관리 약사 모집","~11-06","급여조건","추후협의","학력","대졸(4년제)","TOP"
